class,f1_score,precision,recall,support
,0.8,1.0,0.72,0.76
,0.0,2.0,0.0,0.0
,0.12,3.0,0.25,0.17
,0.07,4.0,0.2,0.11
,0.56,5.0,0.43,0.49
,0.51,6.0,0.34,0.41
,0.13,7.0,0.29,0.18
,0.0,8.0,0.0,0.0
,0.14,9.0,0.27,0.18
,0.61,10.0,0.65,0.63
,0.58,11.0,0.57,0.58
,0.31,12.0,0.48,0.38
